Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating,Years_on_Market
Wii Sports,Wii,Sports,Nintendo,66.176,46.336000000000006,6.032,13.52,132.048,7.6,8.0,E,10.0
Mario Kart Wii,Wii,Racing,Nintendo,20.070400000000003,16.332800000000002,4.8512,4.211200000000001,45.46560000000001,8.2,8.3,E,8.0
Wii Sports Resort,Wii,Sports,Nintendo,17.4832,12.2416,3.6736000000000004,3.3040000000000007,36.70240000000001,8.0,8.0,E,7.0
New Super Mario Bros.,DS,Platform,Nintendo,18.048,14.624000000000002,10.4,4.608,47.68000000000001,8.9,8.5,E,10.0
Wii Play,Wii,Misc,Nintendo,22.336000000000002,14.688,4.688000000000001,4.544,46.272000000000006,5.8,6.6,E,10.0
New Super Mario Bros. Wii,Wii,Platform,Nintendo,16.172800000000002,7.772800000000001,5.264000000000001,2.508800000000001,31.718400000000006,8.7,8.4,E,7.0
Mario Kart DS,DS,Racing,Nintendo,17.089600000000004,13.147200000000002,7.2688000000000015,3.3440000000000003,40.84960000000001,9.1,8.6,E,11.0
Wii Fit,Wii,Sports,Nintendo,12.844800000000001,11.5632,5.184000000000001,3.096,32.688,8.0,7.7,E,9.0
Kinect Adventures!,X360,Misc,Microsoft Game Studios,14.400000000000002,4.694400000000001,0.23040000000000005,1.6224000000000003,20.937600000000003,6.1,6.3,E,6.0
Wii Fit Plus,Wii,Sports,Nintendo,10.0912,9.508800000000003,2.8336,1.9824000000000004,24.4048,8.0,7.4,E,7.0
Grand Theft Auto V,PS3,Action,Take-Two Interactive,3.3696,4.363200000000001,0.4704000000000001,1.9008000000000003,10.099200000000002,9.7,8.2,M,3.0
Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,18.105600000000003,0.7680000000000002,0.7872000000000001,20.294400000000007,39.955200000000005,9.5,9.0,M,12.0
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,8.342400000000001,16.192,7.321600000000001,3.5904000000000007,35.464000000000006,7.7,7.9,E,11.0
Grand Theft Auto V,X360,Action,Take-Two Interactive,4.636800000000001,2.4672000000000005,0.028800000000000006,0.6768000000000001,7.809600000000001,9.7,8.1,M,3.0
Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,18.838400000000004,12.297600000000003,1.0528000000000002,3.987200000000001,36.176,9.5,8.7,M,14.0
Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,6.036800000000001,9.416000000000002,9.3632,2.0768,26.9104,7.7,7.1,E,11.0
Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,16.44,12.216000000000001,4.488,2.784,35.952000000000005,9.5,8.4,E,15.0
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,7.231999999999999,3.3920000000000003,0.10400000000000001,1.056,11.784,8.8,3.4,M,5.0
Call of Duty: Black Ops,X360,Shooter,Activision,9.312000000000001,3.532800000000001,0.10560000000000003,1.0848,14.025600000000003,8.7,6.3,M,6.0
Call of Duty: Black Ops II,PS3,Shooter,Activision,3.1936000000000004,3.6672000000000007,0.41600000000000004,1.5488,8.8256,8.3,5.3,M,4.0
Call of Duty: Black Ops II,X360,Shooter,Activision,5.280000000000001,2.7136000000000005,0.044800000000000006,0.7168000000000001,8.748800000000001,8.3,4.8,M,4.0
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,9.5424,4.0208,0.08960000000000001,1.4336000000000002,15.086400000000003,9.4,6.3,M,7.0
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,4.432,4.5840000000000005,0.392,1.2560000000000002,10.656,8.8,3.2,M,5.0
Grand Theft Auto III,PS2,Action,Take-Two Interactive,16.776000000000003,10.824,0.72,3.12,31.44,9.7,8.5,M,15.0
Super Smash Bros. Brawl,Wii,Fighting,Nintendo,8.473600000000001,3.2640000000000002,3.4048000000000003,1.2928000000000002,16.435200000000002,9.3,8.9,T,8.0
Mario Kart 7,3DS,Racing,Nintendo,4.024,3.2159999999999997,2.152,0.7280000000000001,10.128,8.5,8.2,E,5.0
Call of Duty: Black Ops,PS3,Shooter,Activision,5.750400000000002,4.195200000000001,0.4608000000000001,1.7184000000000004,12.124800000000002,8.8,6.4,M,6.0
Grand Theft Auto V,PS4,Action,Take-Two Interactive,1.2672,2.0192,0.12160000000000003,0.6304000000000001,4.035200000000001,9.7,8.3,M,2.0
Animal Crossing: Wild World,DS,Simulation,Nintendo,4.4,6.072000000000001,9.3808,1.5136000000000003,21.348800000000004,8.6,8.7,E,11.0
Halo 3,X360,Shooter,Microsoft Game Studios,11.4768,4.0464,0.18720000000000003,1.7424,17.4528,9.4,7.8,M,9.0
Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,5.7792,0.019200000000000002,2.1120000000000005,14.457600000000005,22.387200000000007,8.9,8.5,E,12.0
Super Mario Galaxy,Wii,Platform,Nintendo,8.7264,4.824000000000001,1.728,1.0655999999999999,16.344,9.7,8.9,E,9.0
Grand Theft Auto IV,X360,Action,Take-Two Interactive,8.652800000000001,3.9296,0.17920000000000003,1.3184000000000002,14.0928,9.8,7.9,M,8.0
Gran Turismo,PS,Racing,Sony Computer Entertainment,12.2208,11.764800000000001,7.7216000000000005,1.5808000000000002,33.288000000000004,9.6,8.7,E,19.0
Super Mario 3D Land,3DS,Platform,Nintendo,3.912,2.4000000000000004,1.7120000000000002,0.6240000000000001,8.648000000000001,9.0,8.4,E,5.0
Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,2.8416,4.627200000000001,0.7776000000000003,2.0256000000000003,10.272000000000002,8.4,7.5,E,6.0
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,5.588800000000001,4.076800000000001,0.4256000000000001,1.7920000000000005,11.872000000000002,9.4,6.3,M,7.0
Grand Theft Auto IV,PS3,Action,Take-Two Interactive,6.0928,4.7232,0.5632,2.0608000000000004,13.440000000000001,9.8,7.5,M,8.0
