Name	Critic_Score	Critic_Count	User_Score	User_Count
Wii Sports	7.6		8.0	
Mario Kart Wii	8.2		8.3	
Wii Sports Resort	8.0		8.0	
New Super Mario Bros.	8.9		8.5	
Wii Play	5.8		6.6	
New Super Mario Bros. Wii	8.7		8.4	
Mario Kart DS	9.1		8.6	
Wii Fit	8.0		7.7	
Kinect Adventures!	6.1		6.3	
Wii Fit Plus	8.0		7.4	
Grand Theft Auto V	9.7		8.2	
Grand Theft Auto: San Andreas	9.5		9.0	
Brain Age: Train Your Brain in Minutes a Day	7.7		7.9	
Grand Theft Auto V	9.7		8.1	
Grand Theft Auto: Vice City	9.5		8.7	
Brain Age 2: More Training in Minutes a Day	7.7		7.1	
Gran Turismo 3: A-Spec	9.5		8.4	
Call of Duty: Modern Warfare 3	8.8		3.4	
Call of Duty: Black Ops	8.7		6.3	
Call of Duty: Black Ops II	8.3		5.3	
Call of Duty: Black Ops II	8.3		4.8	
Call of Duty: Modern Warfare 2	9.4		6.3	
Call of Duty: Modern Warfare 3	8.8		3.2	
Grand Theft Auto III	9.7		8.5	
Super Smash Bros. Brawl	9.3		8.9	
Mario Kart 7	8.5		8.2	
Call of Duty: Black Ops	8.8		6.4	
Grand Theft Auto V	9.7		8.3	
Animal Crossing: Wild World	8.6		8.7	
Halo 3	9.4		7.8	
Gran Turismo 4	8.9		8.5	
Super Mario Galaxy	9.7		8.9	
Grand Theft Auto IV	9.8		7.9	
Gran Turismo	9.6		8.7	
Super Mario 3D Land	9.0		8.4	
Gran Turismo 5	8.4		7.5	
Call of Duty: Modern Warfare 2	9.4		6.3	
Grand Theft Auto IV	9.8		7.5	
Call of Duty: Ghosts	7.3		2.6	
Just Dance 3	7.4		7.8	
New Super Mario Bros. 2	7.8		7.2	
Halo: Reach	9.1		7.9	
Final Fantasy VII	9.2		9.2	
Halo 4	8.7		7.0	
Gran Turismo 2	9.3		9.0	
Just Dance 2	7.4		7.3	
Call of Duty: Ghosts	7.1		2.6	
Call of Duty 4: Modern Warfare	9.4		8.4	
Animal Crossing: New Leaf	8.8		8.7	
Mario Party DS	7.2		7.8	
The Elder Scrolls V: Skyrim	9.6		8.4	
FIFA 16	8.2		4.3	
Halo 2	9.5		8.2	
Wii Party	6.8		7.4	
Mario Party 8	6.2		6.3	
FIFA Soccer 13	8.8		6.6	
Final Fantasy X	9.2		8.7	
The Sims 3	8.6		7.6	
Final Fantasy VIII	9.0		8.6	
Pokémon Platinum Version	8.3		8.5	
Grand Theft Auto: Liberty City Stories	8.8		7.6	
Call of Duty: Advanced Warfare	8.3		5.7	
FIFA 17	8.5		5.0	
Super Mario Galaxy 2	9.7		9.1	
Call of Duty: World at War	8.4		7.6	
Battlefield 3	8.4		7.4	
Need for Speed Underground	8.5		8.6	
Just Dance	4.9		8.0	
Battlefield 3	8.5		7.5	
Fallout 4	8.7		6.5	
Tekken 3	9.6		9.1	
The Legend of Zelda: Twilight Princess	9.5		9.0	
Crash Bandicoot 3: Warped	9.1		8.9	
Mario Kart 8	8.8		9.1	
Super Smash Bros. Melee	9.2		9.1	
Need for Speed Underground 2	8.2		8.6	
Medal of Honor: Frontline	8.8		8.5	
Just Dance 4	7.4		7.3	
Gears of War 2	9.3		7.7	
Uncharted 3: Drake's Deception	9.2		8.3	
Call of Duty 4: Modern Warfare	9.4		8.4	
Uncharted 2: Among Thieves	9.6		8.8	
Big Brain Academy	7.4		7.4	
Red Dead Redemption	9.5		8.8	
FIFA 14	8.6		4.3	
Assassin's Creed III	8.5		6.9	
Donkey Kong Country Returns	8.7		8.6	
Halo: Combat Evolved	9.7		8.6	
The Elder Scrolls V: Skyrim	9.2		6.4	
Pokémon Emerald Version	7.6		9.0	
Kingdom Hearts	8.5		8.8	
Halo 3: ODST	8.3		7.1	
Red Dead Redemption	9.5		9.0	
Super Mario Sunshine	9.2		8.6	
World of Warcraft	9.3		7.3	
Driver	8.7		8.1	
Gears of War 3	9.1		7.8	
Kinect Sports	7.3		7.4	
Gears of War	9.4		8.3	
FIFA 15	8.2		5.7	
Metal Gear Solid 2: Sons of Liberty	9.6		8.7	
Metal Gear Solid	9.4		9.4	
Metal Gear Solid 4: Guns of the Patriots	9.4		8.7	
Final Fantasy XII	9.2		7.6	
The Last of Us	9.5		9.1	
LittleBigPlanet	9.5		6.8	
Resident Evil 2	8.9		9.2	
Dragon Quest IX: Sentinels of the Starry Skies	8.7		8.8	
Tekken 2	8.9		8.9	
Destiny	7.6		6.1	
LEGO Star Wars: The Complete Saga	8.0		8.9	
Cooking Mama	6.7		7.2	
Assassin's Creed II	9.1		8.6	
Assassin's Creed	8.1		7.7	
Forza Motorsport 3	9.2		8.0	
Super Mario Advance	8.4		7.8	
Monster Hunter Freedom Unite	8.1		8.7	
Batman: Arkham City	9.6		8.6	
Grand Theft Auto V	9.7		7.9	
Mario Kart: Super Circuit	9.3		8.3	
Crash Bandicoot: The Wrath of Cortex	6.6		7.1	
Call of Duty: World at War	8.5		7.6	
Uncharted 4: A Thief's End	9.3		7.9	
Final Fantasy XIII	8.3		7.3	
Final Fantasy IX	9.4		8.9	
Assassin's Creed III	8.4		6.7	
Final Fantasy X-2	8.5		6.6	
Call of Duty: Advanced Warfare	8.1		5.4	
Assassin's Creed II	9.0		8.8	
New Super Mario Bros. U	8.4		8.1	
Dragon Quest VIII: Journey of the Cursed King	8.9		8.8	
Professor Layton and the Curious Village	8.5		8.6	
FIFA Soccer 13	9.0		6.1	
Diablo III	8.8		4.0	
Medal of Honor: Rising Sun	6.8		7.6	
Guitar Hero II	9.2		8.5	
Fable III	8.0		6.5	
Resident Evil 5	8.4		7.5	
The Legend of Zelda: Phantom Hourglass	9.0		8.0	
FIFA Soccer 11	8.9		8.0	
Resident Evil	9.1		9.0	
Grand Theft Auto: Vice City Stories	8.6		8.0	
Tony Hawk's Pro Skater	9.2		9.2	
Guitar Hero III: Legends of Rock	8.2		8.2	
Link's Crossbow Training	6.8		7.1	
Fallout 3	9.3		8.5	
Uncharted: Drake's Fortune	8.8		8.1	
Madden NFL 06	8.8		8.0	
StarCraft II: Wings of Liberty	9.3		8.2	
Assassin's Creed	8.1		7.3	
God of War III	9.2		8.7	
Crash Team Racing	8.8		9.0	
LEGO Star Wars: The Complete Saga	8.0		5.4	
Driver 2	6.2		7.7	
Batman: Arkham City	9.4		8.7	
Tony Hawk's Pro Skater 2	9.8		7.7	
The Lord of the Rings: The Two Towers	8.2		8.2	
Tomb Raider	9.1		8.6	
Animal Crossing: City Folk	7.3		7.6	
Uncharted: The Nathan Drake Collection	8.6		8.1	
The Legend of Zelda: The Wind Waker	9.6		8.9	
Guitar Hero III: Legends of Rock	8.6		8.4	
Luigi's Mansion: Dark Moon	8.6		8.4	
Forza Motorsport 4	9.1		8.2	
Madden NFL 2005	9.1		7.9	
Guitar Hero III: Legends of Rock	8.5		7.9	
Madden NFL 07	8.4		8.2	
Halo 5: Guardians	8.4		6.4	
Spider-Man: The Movie	7.6		7.9	
Call of Duty: Infinite Warfare	7.7		3.4	
God of War	9.4		8.9	
Splatoon	8.1		8.5	
Nintendo Land	7.7		7.9	
Tony Hawk's Pro Skater 3	9.7		7.5	
