Name	Platform	Year_of_Release	Genre	Publisher	Developer	Rating
Wii Sports	Wii	2006.0	Sports	Nintendo		E
Mario Kart Wii	Wii	2008.0	Racing	Nintendo		E
Wii Sports Resort	Wii	2009.0	Sports	Nintendo		E
New Super Mario Bros.	DS	2006.0	Platform	Nintendo		E
Wii Play	Wii	2006.0	Misc	Nintendo		E
New Super Mario Bros. Wii	Wii	2009.0	Platform	Nintendo		E
Mario Kart DS	DS	2005.0	Racing	Nintendo		E
Wii Fit	Wii	2007.0	Sports	Nintendo		E
Kinect Adventures!	X360	2010.0	Misc	Microsoft Game Studios		E
Wii Fit Plus	Wii	2009.0	Sports	Nintendo		E
Grand Theft Auto V	PS3	2013.0	Action	Take-Two Interactive		M
Grand Theft Auto: San Andreas	PS2	2004.0	Action	Take-Two Interactive		M
Brain Age: Train Your Brain in Minutes a Day	DS	2005.0	Misc	Nintendo		E
Grand Theft Auto V	X360	2013.0	Action	Take-Two Interactive		M
Grand Theft Auto: Vice City	PS2	2002.0	Action	Take-Two Interactive		M
Brain Age 2: More Training in Minutes a Day	DS	2005.0	Puzzle	Nintendo		E
Gran Turismo 3: A-Spec	PS2	2001.0	Racing	Sony Computer Entertainment		E
Call of Duty: Modern Warfare 3	X360	2011.0	Shooter	Activision		M
Call of Duty: Black Ops	X360	2010.0	Shooter	Activision		M
Call of Duty: Black Ops II	PS3	2012.0	Shooter	Activision		M
Call of Duty: Black Ops II	X360	2012.0	Shooter	Activision		M
Call of Duty: Modern Warfare 2	X360	2009.0	Shooter	Activision		M
Call of Duty: Modern Warfare 3	PS3	2011.0	Shooter	Activision		M
Grand Theft Auto III	PS2	2001.0	Action	Take-Two Interactive		M
Super Smash Bros. Brawl	Wii	2008.0	Fighting	Nintendo		T
Mario Kart 7	3DS	2011.0	Racing	Nintendo		E
Call of Duty: Black Ops	PS3	2010.0	Shooter	Activision		M
Grand Theft Auto V	PS4	2014.0	Action	Take-Two Interactive		M
Animal Crossing: Wild World	DS	2005.0	Simulation	Nintendo		E
Halo 3	X360	2007.0	Shooter	Microsoft Game Studios		M
