Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Wii Sports	33.088	23.168000000000003	3.016	6.76	66.024
Mario Kart Wii	12.544	10.208	3.032	2.632	28.416000000000004
Wii Sports Resort	12.488	8.744	2.624	2.3600000000000003	26.216000000000005
New Super Mario Bros.	9.024	7.312000000000001	5.2	2.304	23.840000000000003
Wii Play	11.168	7.344	2.3440000000000003	2.272	23.136000000000003
New Super Mario Bros. Wii	11.552	5.5520000000000005	3.76	1.7920000000000005	22.656
Mario Kart DS	7.768000000000001	5.976	3.3040000000000003	1.52	18.568
Wii Fit	7.136	6.424	2.8800000000000003	1.72	18.16
Kinect Adventures!	12.0	3.912	0.192	1.352	17.448
Wii Fit Plus	7.208	6.792000000000001	2.024	1.416	17.432
Grand Theft Auto V	5.616	7.272	0.784	3.168	16.832
Grand Theft Auto: San Andreas	7.544	0.32	0.328	8.456000000000001	16.648
Brain Age: Train Your Brain in Minutes a Day	3.792	7.359999999999999	3.3280000000000003	1.632	16.12
Grand Theft Auto V	7.728000000000001	4.112	0.048	1.128	13.016
Grand Theft Auto: Vice City	6.728000000000001	4.392	0.376	1.4240000000000002	12.92
Brain Age 2: More Training in Minutes a Day	2.744	4.28	4.256	0.944	12.232
Gran Turismo 3: A-Spec	5.48	4.072	1.4960000000000002	0.928	11.984000000000002
Call of Duty: Modern Warfare 3	7.231999999999999	3.3920000000000003	0.104	1.056	11.784
Call of Duty: Black Ops	7.76	2.9440000000000004	0.088	0.904	11.688
Call of Duty: Black Ops II	3.992	4.5840000000000005	0.52	1.936	11.032
Call of Duty: Black Ops II	6.6000000000000005	3.3920000000000003	0.056	0.8960000000000001	10.936
Call of Duty: Modern Warfare 2	6.816	2.872	0.064	1.024	10.776000000000002
Call of Duty: Modern Warfare 3	4.432	4.5840000000000005	0.392	1.2560000000000002	10.656
Grand Theft Auto III	5.5920000000000005	3.608	0.24	1.04	10.48
Super Smash Bros. Brawl	5.296	2.04	2.128	0.808	10.272
Mario Kart 7	4.024	3.216	2.152	0.7280000000000001	10.128
Call of Duty: Black Ops	4.792000000000001	3.4960000000000004	0.384	1.4320000000000002	10.104
Grand Theft Auto V	3.168	5.048	0.304	1.576	10.088
Animal Crossing: Wild World	2.0	2.76	4.264	0.6880000000000001	9.704
Halo 3	6.376	2.248	0.104	0.968	9.696
Gran Turismo 4	2.408	0.008	0.8800000000000001	6.024000000000001	9.328
Super Mario Galaxy	4.848	2.68	0.96	0.592	9.08
Grand Theft Auto IV	5.408	2.456	0.112	0.8240000000000001	8.808
Gran Turismo	3.216	3.096	2.032	0.416	8.76
Super Mario 3D Land	3.912	2.4000000000000004	1.7120000000000002	0.6240000000000001	8.648000000000001
Gran Turismo 5	2.368	3.856	0.6480000000000001	1.688	8.56
Call of Duty: Modern Warfare 2	3.992	2.9120000000000004	0.304	1.2800000000000002	8.48
Grand Theft Auto IV	3.808	2.952	0.352	1.2880000000000005	8.4
Call of Duty: Ghosts	5.384	2.048	0.032	0.7280000000000001	8.200000000000001
Just Dance 3	4.760000000000001	2.488	0.0	0.8480000000000001	8.096
New Super Mario Bros. 2	2.9280000000000004	2.5120000000000005	1.976	0.504	7.920000000000001
Halo: Reach	5.632000000000001	1.56	0.064	0.6320000000000001	7.888
Final Fantasy VII	2.408	1.976	2.624	0.768	7.776000000000001
Halo 4	5.32	1.824	0.032	0.592	7.768000000000001
Gran Turismo 2	3.104	2.736	1.352	0.4	7.592
Just Dance 2	4.64	2.28	0.008	0.6240000000000001	7.552
Call of Duty: Ghosts	3.28	2.904	0.304	1.0	7.487999999999999
