Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Wii Sports,Wii,2006.0,Sports,Nintendo,33.088,23.168000000000003,3.016,6.76,66.024,7.6,8.0,E
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,12.544,10.208,3.032,2.632,28.416000000000004,8.2,8.3,E
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,12.488,8.744,2.624,2.3600000000000003,26.216000000000005,8.0,8.0,E
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,9.024,7.312000000000001,5.2,2.304,23.840000000000003,8.9,8.5,E
Wii Play,Wii,2006.0,Misc,Nintendo,11.168000000000001,7.344,2.3440000000000003,2.272,23.136000000000003,5.8,6.6,E
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,11.552,5.5520000000000005,3.7600000000000002,1.7920000000000003,22.656000000000002,8.7,8.4,E
Mario Kart DS,DS,2005.0,Racing,Nintendo,7.768000000000001,5.976,3.3040000000000003,1.52,18.568,9.1,8.6,E
Wii Fit,Wii,2007.0,Sports,Nintendo,7.136,6.4239999999999995,2.8800000000000003,1.72,18.16,8.0,7.7,E
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,12.0,3.912,0.192,1.352,17.448,6.1,6.3,E
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,7.208,6.792000000000001,2.024,1.4160000000000001,17.432,8.0,7.4,E
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,5.616,7.272,0.784,3.168,16.832,9.7,8.2,M
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,7.5440000000000005,0.32000000000000006,0.328,8.456000000000001,16.648,9.5,9.0,M
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,3.7920000000000003,7.359999999999999,3.3280000000000003,1.6320000000000001,16.12,7.7,7.9,E
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,7.728000000000001,4.112,0.048,1.128,13.016,9.7,8.1,M
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,6.728000000000001,4.392,0.376,1.4240000000000002,12.92,9.5,8.7,M
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,2.744,4.28,4.256,0.944,12.232,7.7,7.1,E
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,5.48,4.072,1.4960000000000002,0.9279999999999999,11.984000000000002,9.5,8.4,E
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,7.231999999999999,3.3920000000000003,0.10400000000000001,1.056,11.784,8.8,3.4,M
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,7.76,2.9440000000000004,0.08800000000000001,0.9039999999999999,11.688,8.7,6.3,M
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,3.9920000000000004,4.5840000000000005,0.52,1.936,11.032,8.3,5.3,M
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,6.6000000000000005,3.3920000000000003,0.05600000000000001,0.8960000000000001,10.936,8.3,4.8,M
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,6.816,2.872,0.064,1.024,10.776000000000002,9.4,6.3,M
