Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating,Years_on_Market
Wii Sports,Wii,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,7.6,8.0,E,10.0
Mario Kart Wii,Wii,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,8.2,8.3,E,8.0
Wii Sports Resort,Wii,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,8.0,8.0,E,7.0
New Super Mario Bros.,DS,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,8.9,8.5,E,10.0
Wii Play,Wii,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,5.8,6.6,E,10.0
New Super Mario Bros. Wii,Wii,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,8.7,8.4,E,7.0
Mario Kart DS,DS,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,9.1,8.6,E,11.0
Wii Fit,Wii,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,8.0,7.7,E,9.0
Kinect Adventures!,X360,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,6.1,6.3,E,6.0
Wii Fit Plus,Wii,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,8.0,7.4,E,7.0
Grand Theft Auto V,PS3,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,9.7,8.2,M,3.0
Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,9.5,9.0,M,12.0
Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,7.7,7.9,E,11.0
Grand Theft Auto V,X360,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,9.7,8.1,M,3.0
Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,9.5,8.7,M,14.0
Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,7.7,7.1,E,11.0
Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,9.5,8.4,E,15.0
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,8.8,3.4,M,5.0
Call of Duty: Black Ops,X360,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,8.7,6.3,M,6.0
Call of Duty: Black Ops II,PS3,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,8.3,5.3,M,4.0
Call of Duty: Black Ops II,X360,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,8.3,4.8,M,4.0
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,9.4,6.3,M,7.0
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,8.8,3.2,M,5.0
Grand Theft Auto III,PS2,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,9.7,8.5,M,15.0
Super Smash Bros. Brawl,Wii,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,9.3,8.9,T,8.0
Mario Kart 7,3DS,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,8.5,8.2,E,5.0
Call of Duty: Black Ops,PS3,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,8.8,6.4,M,6.0
Grand Theft Auto V,PS4,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,9.7,8.3,M,2.0
Animal Crossing: Wild World,DS,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,8.6,8.7,E,11.0
Halo 3,X360,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,9.4,7.8,M,9.0
Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,8.9,8.5,E,12.0
Super Mario Galaxy,Wii,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,9.7,8.9,E,9.0
Grand Theft Auto IV,X360,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,9.8,7.9,M,8.0
Gran Turismo,PS,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,9.6,8.7,E,19.0
Super Mario 3D Land,3DS,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,9.0,8.4,E,5.0
Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,8.4,7.5,E,6.0
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,9.4,6.3,M,7.0
Grand Theft Auto IV,PS3,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,9.8,7.5,M,8.0
Call of Duty: Ghosts,X360,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,7.3,2.6,M,3.0
Just Dance 3,Wii,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,7.4,7.8,E10+,5.0
New Super Mario Bros. 2,3DS,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,7.8,7.2,E,4.0
Halo: Reach,X360,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,9.1,7.9,M,6.0
Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.2,9.2,T,19.0
Halo 4,X360,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,8.7,7.0,M,4.0
Gran Turismo 2,PS,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.3,9.0,T,17.0
Just Dance 2,Wii,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,7.4,7.3,E10+,6.0
Call of Duty: Ghosts,PS3,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,7.1,2.6,M,3.0
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,9.4,8.4,M,9.0
Animal Crossing: New Leaf,3DS,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,8.8,8.7,E,4.0
Mario Party DS,DS,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,7.2,7.8,E,9.0
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,9.6,8.4,M,5.0
FIFA 16,PS4,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,8.2,4.3,E,1.0
Halo 2,XB,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,9.5,8.2,M,12.0
Wii Party,Wii,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,6.8,7.4,E,6.0
Mario Party 8,Wii,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,6.2,6.3,E,9.0
FIFA Soccer 13,PS3,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,8.8,6.6,E,4.0
Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,9.2,8.7,T,15.0
The Sims 3,PC,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,8.6,7.6,T,7.0
