Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
7,2006.0,1,60,33.088,23.168000000000003,3.016,6.76,66.024,7.6,8,0
7,2008.0,4,60,12.544,10.208,3.032,2.632,28.416000000000004,8.2,8.3,0
7,2009.0,1,60,12.488,8.744,2.624,2.3600000000000003,26.216000000000005,8.0,8,0
4,2006.0,6,60,9.024,7.312000000000001,5.2,2.304,23.840000000000003,8.9,8.5,0
7,2006.0,5,60,11.168,7.344,2.3440000000000003,2.272,23.136000000000003,5.8,6.6,0
7,2009.0,6,60,11.552,5.5520000000000005,3.76,1.7920000000000005,22.656,8.7,8.4,0
4,2005.0,4,60,7.768000000000001,5.976,3.3040000000000003,1.52,18.568,9.1,8.6,0
7,2007.0,1,60,7.136,6.424,2.8800000000000003,1.72,18.16,8.0,7.7,0
1,2010.0,5,54,12.0,3.912,0.192,1.352,17.448,6.1,6.3,0
7,2009.0,1,60,7.208,6.792000000000001,2.024,1.416,17.432,8.0,7.4,0
2,2013.0,0,89,5.616,7.272,0.784,3.168,16.832,9.7,8.2,2
0,2004.0,0,89,7.544,0.32,0.328,8.456000000000001,16.648,9.5,9,2
4,2005.0,5,60,3.792,7.359999999999999,3.3280000000000003,1.632,16.12,7.7,7.9,0
1,2013.0,0,89,7.728000000000001,4.112,0.048,1.128,13.016,9.7,8.1,2
0,2002.0,0,89,6.728000000000001,4.392,0.376,1.4240000000000002,12.92,9.5,8.7,2
4,2005.0,11,60,2.744,4.28,4.256,0.944,12.232,7.7,7.1,0
0,2001.0,4,76,5.48,4.072,1.4960000000000002,0.928,11.984000000000002,9.5,8.4,0
1,2011.0,2,3,7.231999999999999,3.3920000000000003,0.104,1.056,11.784,8.8,3.4,2
1,2010.0,2,3,7.76,2.9440000000000004,0.088,0.904,11.688,8.7,6.3,2
2,2012.0,2,3,3.992,4.5840000000000005,0.52,1.936,11.032,8.3,5.3,2
1,2012.0,2,3,6.6000000000000005,3.3920000000000003,0.056,0.8960000000000001,10.936,8.3,4.8,2
1,2009.0,2,3,6.816,2.872,0.064,1.024,10.776000000000002,9.4,6.3,2
2,2011.0,2,3,4.432,4.5840000000000005,0.392,1.2560000000000002,10.656,8.8,3.2,2
0,2001.0,0,89,5.5920000000000005,3.608,0.24,1.04,10.48,9.7,8.5,2
7,2008.0,7,60,5.296,2.04,2.128,0.808,10.272,9.3,8.9,1
13,2011.0,4,60,4.024,3.216,2.152,0.7280000000000001,10.128,8.5,8.2,0
2,2010.0,2,3,4.792000000000001,3.4960000000000004,0.384,1.4320000000000002,10.104,8.8,6.4,2
11,2014.0,0,89,3.168,5.048,0.304,1.576,10.088,9.7,8.3,2
